question,option_1,option_2,option_3,option_4,answer
開學時，我看到了誰？,老師,同學,書本,爸媽,1
我坐在位置上，拿起了什麼？,書包,課本,玩具,鉛筆,1
上課時，老師問：「新年的學生年，有什麼樣的新___？」,功課,書本,希望,禮物,2
哪一個同學不太喜歡談「新年希望」？,子陽,同學,老師,自己,0
子陽說他要為什麼事情著手？,同學的事情,自己的事情,老師的事情,家裡的事情,1
「我」看到其他同學做什麼？,在教室跑來跑去,安靜地看書,玩玩具,吃東西,1
本來比、夏緹的心情怎麼樣？,和我一樣高,比我低,比我高,和我不一樣高,1
新年我有什麼樣的希望？,好成績,更快樂,更美好,旅行,2
坐在位置上，聞到淡淡的什麼？,書香,花香,食物香,乾淨的氣味,0
老師在上課時問我們什麼問題？,今年的生日,新年的希望,春節的計劃,朋友的生日,1
子陽對新年的希望有什麼反應？,保持沉默,熱烈回應,感到困惑,無動於衷,1
子陽大聲說什麼？,要更努力讀書,要做好自己的事情,想要新玩具,要多交朋友,1
看到同學們安靜地坐著，這讓我感到怎樣？,意外,高興,害怕,失望,0
本來比的心情，現在和「我」的心情相比，怎麼樣？,更開心,更害怕,更高,更低,3
「我」對新學年的希望是什麼？,得到禮物,找到朋友,更美好,不確定,2
誰的心情比我高？,夏緹,子陽,我,老師,0
「我」在什麼時間覺得很開心？,上課時,下課時,早上,放學後,0
誰是發言最活潑的學生？,夏緹,子陽,我,老師,1
上課時，老師對大家問了什麼？,年齡,新的目標,成績,理想,1
新學年「我」的希望是什麼？,更美好的成長,玩得更開心,做更多功課,交新朋友,0
